,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
428,2004,ROS,Not Stated,M,25-34,1,27717
429,2004,ROS,Not Stated,M,45-54,1,27717
453,2004,ROS,Other Non Hispanic,M,25-34,1,27717
459,2004,ROS,White Non Hispanic,F,19-Oct,1,27717
460,2004,ROS,White Non Hispanic,F,25-34,1,27717
461,2004,ROS,White Non Hispanic,F,65-74,1,27717
462,2004,ROS,White Non Hispanic,F,55-64,2,27717
463,2004,ROS,White Non Hispanic,F,20-24,4,27717
464,2004,ROS,White Non Hispanic,F,35-44,14,27717
465,2004,ROS,White Non Hispanic,F,45-54,17,27717
471,2004,ROS,White Non Hispanic,M,75-84,1,27717
472,2004,ROS,White Non Hispanic,M,19-Oct,4,27717
473,2004,ROS,White Non Hispanic,M,55-64,5,27717
474,2004,ROS,White Non Hispanic,M,20-24,8,27717
475,2004,ROS,White Non Hispanic,M,25-34,21,27717
476,2004,ROS,White Non Hispanic,M,45-54,26,27717
477,2004,ROS,White Non Hispanic,M,35-44,41,27717
485,2005,NYC,Black Non Hispanic,F,19-Oct,2,27717
486,2005,NYC,Black Non Hispanic,F,25-34,3,27717
487,2005,NYC,Black Non Hispanic,F,55-64,7,27717
488,2005,NYC,Black Non Hispanic,F,35-44,8,27717
489,2005,NYC,Black Non Hispanic,F,45-54,17,27717
496,2005,NYC,Black Non Hispanic,M,20-24,1,27717
497,2005,NYC,Black Non Hispanic,M,65-74,2,27717
498,2005,NYC,Black Non Hispanic,M,25-34,6,27717
499,2005,NYC,Black Non Hispanic,M,55-64,10,27717
500,2005,NYC,Black Non Hispanic,M,35-44,17,27717
501,2005,NYC,Black Non Hispanic,M,45-54,43,27717
508,2005,NYC,Hispanic,F,20-24,1,27717
509,2005,NYC,Hispanic,F,25-34,2,27717
510,2005,NYC,Hispanic,F,55-64,2,27717
511,2005,NYC,Hispanic,F,19-Oct,4,27717
512,2005,NYC,Hispanic,F,45-54,7,27717
513,2005,NYC,Hispanic,F,35-44,11,27717
518,2005,NYC,Hispanic,M,19-Oct,1,27717
519,2005,NYC,Hispanic,M,65-74,1,27717
520,2005,NYC,Hispanic,M,75-84,1,27717
521,2005,NYC,Hispanic,M,20-24,6,27717
522,2005,NYC,Hispanic,M,55-64,12,27717
523,2005,NYC,Hispanic,M,25-34,22,27717
524,2005,NYC,Hispanic,M,35-44,36,27717
525,2005,NYC,Hispanic,M,45-54,38,27717
535,2005,NYC,Not Stated,F,25-34,1,27717
536,2005,NYC,Not Stated,F,45-54,1,27717
545,2005,NYC,Not Stated,M,20-24,1,27717
546,2005,NYC,Not Stated,M,35-44,1,27717
547,2005,NYC,Not Stated,M,65-74,1,27717
548,2005,NYC,Not Stated,M,45-54,3,27717
570,2005,NYC,Other Non Hispanic,M,20-24,1,27717
571,2005,NYC,Other Non Hispanic,M,35-44,2,27717
572,2005,NYC,Other Non Hispanic,M,25-34,3,27717
576,2005,NYC,White Non Hispanic,F,65-74,1,27717
577,2005,NYC,White Non Hispanic,F,75-84,1,27717
578,2005,NYC,White Non Hispanic,F,85+,1,27717
579,2005,NYC,White Non Hispanic,F,19-Oct,2,27717
580,2005,NYC,White Non Hispanic,F,20-24,4,27717
581,2005,NYC,White Non Hispanic,F,55-64,6,27717
582,2005,NYC,White Non Hispanic,F,25-34,7,27717
583,2005,NYC,White Non Hispanic,F,35-44,25,27717
584,2005,NYC,White Non Hispanic,F,45-54,26,27717
590,2005,NYC,White Non Hispanic,M,19-Oct,5,27717
591,2005,NYC,White Non Hispanic,M,65-74,5,27717
592,2005,NYC,White Non Hispanic,M,20-24,17,27717
593,2005,NYC,White Non Hispanic,M,25-34,18,27717
594,2005,NYC,White Non Hispanic,M,55-64,20,27717
595,2005,NYC,White Non Hispanic,M,35-44,37,27717
596,2005,NYC,White Non Hispanic,M,45-54,50,27717
607,2005,ROS,Black Non Hispanic,F,<1,1,27717
608,2005,ROS,Black Non Hispanic,F,35-44,2,27717
617,2005,ROS,Black Non Hispanic,M,35-44,1,27717
618,2005,ROS,Black Non Hispanic,M,25-34,2,27717
619,2005,ROS,Black Non Hispanic,M,55-64,5,27717
620,2005,ROS,Black Non Hispanic,M,45-54,6,27717
631,2005,ROS,Hispanic,F,45-54,1,27717
632,2005,ROS,Hispanic,F,35-44,2,27717
640,2005,ROS,Hispanic,M,20-24,1,27717
641,2005,ROS,Hispanic,M,55-64,1,27717
642,2005,ROS,Hispanic,M,45-54,3,27717
643,2005,ROS,Hispanic,M,25-34,6,27717
